className,name,url,chapterMode
AquaManga,Aqua Manga,https://aquamanga.org,1
AquaScans,AQUA Scans,https://aquascans.com,1
ArcaneScans,Arcane Scans,https://arcanescans.com,1
BananaManga,Banana Manga,https://bananamanga.net,1
CoffeeManga,Coffee Manga,https://coffeemanga.io,1
DarkScans,Dark Scans,https://darkscans.com,1
DecadenceScans,Decadence Scans,https://reader.decadencescans.com,1
FactManga,Fact Manga,https://factmanga.com,1
FreeManga,Free Manga,https://freemanga.me,1
FreeMangaTop,Free Manga Top,https://freemangatop.com,1
GalaxyDegenScans,Galaxy Degen Scans,https://gdscans.com,1
GirlsLoveManga,Girls Love Manga,https://glmanga.com,1
HariManga,Hari Manga,https://harimanga.com,1
HiperDex,Hiper Dex,https://hiperdex.com,1
HReads,H Reads,https://hreads.net,1
ImmortalUpdates,Immortal Updates,https://immortalupdates.com,1
JiManga,Ji Manga,https://s2manga.io,1
KissManga,Kiss Manga,https://kissmanga.in,1
KsGroupScans,KS Group Scans,https://ksgroupscans.com,1
KunManga,Kun Manga,https://kunmanga.com,1
LsComic,Leviatan Scans,https://lscomic.com,1
LhTranslation,LH Translation,https://lhtranslation.net,1
LilyManga,Lily Manga,https://lilymanga.net,1
MadaraDex,Madara Dex,https://madaradex.org,1
MangaAction,Manga Action,https://mangaaction.com,1
MangaBee,Manga Bee,https://mangazin.org,1
MangaDistrict,Manga District,https://mangadistrict.com,1
MangaKiss,Manga Kiss,https://mangakiss.org,1
MangaOnlineTeam,Manga Online Team,https://mangaonlineteam.com,1
MangaRead,Manga Read,https://mangaread.co,1
MangaRockTeam,Manga Rock Team,https://mangarockteam.com,1
MangaWeebs,Manga Weebs,https://mangaweebs.org,1
MangaClash,Manga Clash,https://toonclash.com,1
MangaFoxFull,Manga Fox Full,https://mangafoxfull.com,1
MangaFreak,Manga Freak,https://mangafreak.online,1
MangaGG,Manga GG,https://mangagg.com,1
MangaGoYaoi,Manga Go Yaoi,https://mangagoyaoi.com,1
MangaManiacs,Manga Maniacs,https://mangamaniacs.org,1
MangaReadOrg,Manga Read,https://www.mangaread.org,1
MangaRolls,Manga Rolls,https://mangarolls.net,1
MangaRyu,Manga Ryu,https://mangaryu.com,1
MangaSco,Manga Sco,https://manhwasco.net,1
MangaSushi,Manga Sushi,https://mangasushi.org,1
MangaTyrant,Manga Tyrant,https://mangatyrant.com,1
MangaUs,Manga US,https://mangaus.xyz,1
ManhuaEs,Manhua ES,https://manhuaes.com,1
ManhuaZonghe,Manhua Zonghe,https://manhuazonghe.com,1
ManhuaFast,Manhua Fast,https://manhuafast.com,1
Manhuaga,Manhuaga,https://manhuaga.com,1
ManhuaHot,Manhua Hot,https://manhuahot.com,1
ManhuaManhwa,Manhua Manhwa,https://manhuamanhwa.com,1
ManhuaUs,Manhua US,https://manhuaus.com,1
ManhuaZone,Manhua Zone,https://manhuazone.org,1
Manhwa68,Manhwa 68,https://manhwa68.com,1
ManhwaClan,Manhwa Clan,https://manhwaclan.com,1
ManhwaFull,Manhwa Full,https://manhwafull.com,1
ManhwaManhua,Manhwa Manhua,https://manhwamanhua.com,1
ManhwaNew,Manhwa New,https://manhwanew.com,1
ManhwaTop,Manhwa top,https://manhwatop.com,1
ManyComic,Many Comic,https://manycomic.com,1
ManyToonMe,Many Toon.me,https://manytoon.me,1
ManyToon,Many Toon,https://manytoon.com,1
MortalsGroove,Mortals Groove,https://mortalsgroove.com,1
MurimScan,Murim Scan,https://murimscan.run,1
NewManhua,New Manhua,https://newmanhua.com,1
NightComic,Night Comic,https://www.nightcomic.com,1
NitroManga,Nitro Manga,https://nitromanga.com,1
NovelCrow,Novel Crow,https://novelcrow.com,1
NovelMic,Novel Mic,https://novelmic.com,1
ParagonScans,Paragon Scans,https://paragonscans.com,1
PawManga,Paw Manga,https://pawmanga.com,1
PetroTechSocienty,Petro Tech Society,https://www.petrotechsociety.org,1
PlatinumScans,Platinum Crown,https://platinumscans.com,1
PonyManga,Pony Manga,https://ponymanga.com,1
ReedFreeComics,Read Free Comics,https://readfreecomics.com,1
S2Manga,S2 Manga,https://s2manga.com,1
ShibaManga,Shiba Manga,https://shibamanga.com,1
ShootingStarScans,Shooting Star Scans,https://shootingstarscans.com,1
SumManga,Sum Manga,https://summanga.com,1
TheBlankScanlation,The Blank Scanlation,https://theblank.net,1
TheGuild,The Guild,https://theguildscans.com,1
TopReadManwa,Top Read Manhwa,https://topreadmanhwa.com,1
WebdexScans,Webdex Scans,https://webdexscans.com,1
YaoiScan,Yaoi Scan,https://yaoiscan.com,1
ZandyNoFansub,Zandy no Fansub,https://zandynofansub.aishiteru.org,1
ZinChanManga,Zin Chan Manga,https://zinchanmanga.com,1
ResetScans,Reset Scans,https://reset-scans.xyz/,1
